Услуга,Стоимость (руб.)
Замена моторного масла,1500
Замена масляного фильтра,400
Замена воздушного фильтра,500
Замена салонного фильтра,700
Замена тормозных колодок (ось),2500
Замена тормозных дисков (ось),6000
Диагностика двигателя,1200
Ротация шин,800
Балансировка колёс,1200
Развал-схождение,2500
Замена свечей зажигания,1000
Замена аккумулятора (без стоимости батареи),500
Заправка кондиционера,1200
Замена ремня ГРМ,8000
Замена тормозной жидкости,800
Замена антифриза (охлаждающей жидкости),1500
Промывка топливной системы,2000
Замена лампы фары,300
Замена стеклоочистителя,300
Замена жидкости гидроусилителя руля,800
